,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
45,2-s2.0-85149268347,10.1163/1871191x-bja10151,,,Space Diplomacy and the Artemis Accords,ar,Article,Riordan N.,60024063;60017004,University of Massachusetts Boston;Prague University of Economics and Business,Boston;Prague,United States;Czech Republic,3,"Riordan, Nancy;Machoň, Miloslav;Csajková, Lucia",57403966900;57189244231;58125961100,60024063;60017004;60017004,2023-01-01,2023,The Hague Journal of Diplomacy,18711901,7100153136,1871191X,Journal,49,1,,1-29,"The growth of human activity in outer space is attracting more International Relations (IR) scholar's attention, enabling an understanding of the involvement of specific groups of actors and the dynamics of political negotiations that lead to concluding agreements on using outer space for peaceful purposes. This article provides analysis based on the triangulation of qualitative data gathered via document analysis and in-depth semi-structured expert interviews to gain insight into the involvement of the actors responsible for the negotiations that led to the Artemis Accords and their diplomatic communication style. The results identified different uses of public and private diplomatic communication for advancing norms of behaviour and transparency. Negotiators used public diplomatic communication in order to influence foreign governments on the need for norms of behaviour and transparency to further peaceful space exploration beyond low Earth orbit. Private diplomatic communication facilitated the inclusion of commercial partners.",Artemis Accords | communication | international co-operation | norms | science diplomacy | space diplomacy | state and non-state actors | trust,1,1,publisherfree2read,Bronze,,undefined,
46,2-s2.0-85147884763,10.1007/978-3-031-10971-3_4,,,Knowledge Diplomacy: A Conceptual Analysis,ch,Book Chapter,Knight J.,60016849,University of Toronto,Toronto,Canada,1,"Knight, Jane",20436084500,60016849,2023-01-01,2023,Studies in Diplomacy and International Relations,27313921,21101125374,2731393X,Book Series,,,,59-80,"The contemporary role of international higher education, research, and innovation (IHERI) in international relations is an increasingly important but understudied phenomenon. The purpose of this chapter is to analyze the concept of knowledge diplomacy, including the role of state and non-state actors. Given the complexity and confusion among the growing number of terms related to diplomacy, the similarities and differences between knowledge diplomacy and science, cultural, public, and education diplomacy are explored. Using the tool of a conceptual framework the rationales, actors, principles, modes, or operation and activities of using IHERI in a knowledge diplomacy approach versus a soft power approach are discussed and compared. Academics, experts, and policymakers from the fields of international relations, as well as higher education, will benefit from an interdisciplinary analysis of the contributions of IHERI to international relations as demonstrated by the application of the knowledge diplomacy framework to the Pan-African University.","International higher education, research, and innovation | Knowledge diplomacy | Pan-African University | Science diplomacy | Soft power",1,0,,,,undefined,
47,2-s2.0-85147879432,10.1007/978-3-031-10971-3_33,,,Science Diplomacy with Diplomatic Relations to Facilitate Common-Interest Building,ch,Book Chapter,Berkman P.A.,60017150,Harvard Law School,Cambridge,United States,1,"Berkman, Paul Arthur",7004899169,60017150,2023-01-01,2023,Studies in Diplomacy and International Relations,27313921,21101125374,2731393X,Book Series,,,,673-689,"The world is experiencing exponential change, as reflected most immediately by the COVID-19 pandemic over months-years, but also over decades-centuries with Earth’s climate and human population growth. We also are living in a globally interconnected civilization, as revealed without ambiguity by the world wars of the twentieth century. Perspectives about the diplomatic environment that were urgent to address after the Second World War, as reflected by the 1961 Vienna Convention on Diplomatic Relations, underscore diplomatic transformations that are necessary for humanity in the twenty-first century and beyond. The local-global challenge forever is to balance national interests and common interests on a planetary scale, recognizing nations will always consider their national interests first and foremost. This chapter reflects on the holistic (international, interdisciplinary, and inclusive) dynamics of science diplomacy as a language of hope with informed decision-making capacities to build common interests “for the benefit of all on Earth across generations.”",Informed decision-making | Science diplomacy,0,0,,,,undefined,
48,2-s2.0-85147392599,10.1080/00033790.2023.2166114,,36740451,Science diplomacy on display: mobile atomic exhibitions in the cold war: Introduction to Special Issue,ed,Editorial,Rentetzi M.,60008241;60000765,Max Planck Institute for the History of Science;Friedrich-Alexander-Universität Erlangen-Nürnberg,Berlin;Erlangen,Germany;Germany,2,"Rentetzi, Maria;Germanese, Donatella",15049716900;53563227300,60000765;60008241,2023-01-01,2023,Annals of Science,33790,19321,1464505X,Journal,80,1,,1-9,"Despite the increasing interest in science exhibitions, there has been hardly any work on mobile science exhibitions and their role within science diplomacy–a gap this thematic issue is meant to fill. Atomic mobile exhibitions are seen here not only as cultural sites but as multifaceted strategic processes of transnational nuclear history. We move beyond the bipolar Cold War history that portrays propagandist science exhibitions as instances of a one-way communication employed to promote the virtues of the two major and conflicting political powers. Instead, Science Diplomacy on Display follows mobile atomic exhibitions as they move across national borders and around the world, functioning as spaces for diplomatic encounters. Exhibitions play a vital role not only in the production of knowledge and the formation of political worldviews but also as assets in diplomatic negotiations and as promoters of a new worldview in which nuclear stands at the centre. They are powerful iconic diplomatic devices, that is systems of representations that capture the diplomatic processes in action and make the nitty-gritty details of international relations visible. This issue seeks to trace the multiple and often contradictory meanings that mobile exhibitions took on for various actors.",atomic exhibitions | Cold War | international organizations | mobile exhibitions | Nuclear diplomacy,0,1,publisherhybridgold,Hybrid Gold,H2020,770548,Horizon 2020 Framework Programme
49,2-s2.0-85147223226,10.1080/00033790.2022.2164794,,36695511,The ingredients of a successful atomic exhibition in Cold War Italy,ar,Article,Germanese D.,60008241,Max Planck Institute for the History of Science,Berlin,Germany,1,"Germanese, Donatella",53563227300,60008241,2023-01-01,2023,Annals of Science,33790,19321,1464505X,Journal,80,1,,10-37,"The organization of the mobile atomic exhibition, Mostra Atomica, designed by the United States Information Service to travel through Italy in 1954–55, had to meet technical, scientific, artistic, and political challenges. The head of the group in charge of the exhibition was architect Peter G. Harnden whose pedigree in the intelligence and training in architecture were an ideal match for leading the unit dedicated to exhibitions. The political sensitivity of the Mostra Atomica also required the intervention of the Italian Ministry of the Interior to guarantee safe mobility and secure shows. In every major town, American and British diplomats attended the local opening ceremony, while the very symbol of science diplomacy was Enrico Fermi, whose recorded message praised international cooperation. All in all, the USIS campaign promoting peaceful applications of nuclear physics was successful in reaching and involving Italian society. Visual and spatial aesthetics were particularly relevant: the geometrical design of the exposition rooms conveyed a strong sense of modernity that contrasted with the artistic heritage of Italian cities. The present article is based on archival files, newspaper reports, and photographs that document who was responsible for planning, setting up, and reporting this Cold War propaganda event.",Cold War | Enrico Fermi | Italy | Mobile atomic exhibition | nuclear energy | Rosalyn Yalow | United States,0,1,publisherhybridgold,Hybrid Gold,H2020,770548,Horizon 2020 Framework Programme
50,2-s2.0-85146921748,10.1163/1871191x-bja10147,,,The Effectiveness of Science Diplomacy between Adversarial States: Insights from US-Cuban and US-Iranian Science Collaborations,ar,Article,Rüland A.L.,60019816,Universiteit Leiden,Leiden,Netherlands,1,"Rüland, Anna Lena",57671628900,60019816,2023-01-01,2023,The Hague Journal of Diplomacy,18711901,7100153136,1871191X,Journal,46,1,,,"The American Association for the Advancement of Science and the British Royal Society's science diplomacy taxonomy has received much criticism. Some argue that there is a lack of empirical evidence to underpin the taxonomy's three science diplomacy dimensions. This particularly applies to the third dimension, science for diplomacy, and its effectiveness. Others criticise the taxonomy for painting the picture of compliant scientists who would discard their academic ideals to support foreign policy objectives. Against the backdrop of these two points of criticism, this study investigates if scientists are willing to support political objectives through science collaborations. It also examines under which conditions science for diplomacy is effective. Using the epistemic community approach, expert interviews and a case study, the study argues that science for diplomacy is effective if it is promoted by a close-knit epistemic community and shows that scientists oppose the instrumentalisation of scientific collaboration for political purposes.",epistemic community | marine conservation | science collaboration | science diplomacy | science for diplomacy | US-Cuban relations | US-Iranian relations,0,1,repositoryvor,Green,,undefined,
51,2-s2.0-85145866238,10.1007/978-981-19-6802-0_23,,,The Outlook for Science Diplomacy in Developing Countries,ch,Book Chapter,Ittekkot V.,60008293;129051078,Universität Bremen;Centre for Science &amp; Technology of the Non-Aligned and Other Developing Countries (NAM S&amp;T Centre),Bremen;New Delhi,Germany;India,2,"Ittekkot, Venugopalan;Baweja, Jasmeet Kaur",7005985890;58045237600,60008293;129051078,2023-01-01,2023,Research for Development,21987300,21100894847,21987319,Book Series,,,,353-356,"Developing countries perceive STI Diplomacy more as a tool to strengthen their science and technology base to confront the local and regional manifestations of global challenges. They recognize the benefits derived from decades of international North−South cooperation, and the potential of enhanced South-South cooperation. The contributors to the book strongly recommend the need to create awareness and application of STI Diplomacy (STID) to better leverage new modes of North−South cooperation that are already available, or under way.",North−South cooperation | South-South cooperation,1,0,,,,undefined,
52,2-s2.0-85145857469,10.1007/978-981-19-6802-0_10,,,Strengthening Science Diplomacy for Sustainable Development of Nepal,ch,Book Chapter,Shrestha S.B.,126010758,Nepal Academy of Science and Technology (NAST),Lalitpur,Nepal,1,"Shrestha, Sunil Babu",57214795037,126010758,2023-01-01,2023,Research for Development,21987300,21100894847,21987319,Book Series,,,,155-165,"Nepal is one of the least developed countries (LDCs) with the goal of graduating from LDC status to developing country by 2026 which was originally planned to achieve by 2022. It has also set the target for achieving Sustainable Development Goals (SDGs, 2016–2030) and middle-income country (MIC) status by 2030. National Science, Technology and Innovation Policy, 2019 of Nepal envisions the use of Science, Technology and Innovation (STI) for sustainable development and prosperity of the nation. While STI Diplomacy or Science Diplomacy in general, is the process of developing relationship among the nations with the use of STI through collaborative research, development, innovation, academic partnership, and STI exchanges, it has a dynamic role for achieving STI utilization for the overall development for a developing country like Nepal. It is an important tool for achieving SDGs by 2030 by resolving challenges and promoting international collaboration. Science diplomacy needs to be an integral part of Nepal’s foreign policy so that scientists and technologists can contribute to scientific evidence-based solutions to problems and promote the needed scientific collaboration and activities through their involvement. Therefore, Nepal must prioritise the ability to employ STI diplomacy for sustainable development by strengthening science diplomacy as an essential component of foreign policy.",Nepal | Nepal academy of science and technology | Science | Science diplomacy | Scientific cooperation | Sustainable development | technology and innovation,0,0,,,JST,undefined,Japan Science and Technology Agency
53,2-s2.0-85145857072,10.1007/978-981-19-6802-0_17,,,"Coordinating State, Academic, and Donor Stakeholders in an International Knowledge Sharing Program: A Perspective on Science and Innovation Diplomacy",ch,Book Chapter,Guneratne R.D.,129050709,National Science and Technology Commission of Sri Lanka,Battaramulla,Sri Lanka,1,"Guneratne, Ranil D.",6508119569,129050709,2023-01-01,2023,Research for Development,21987300,21100894847,21987319,Book Series,,,,255-268,"A pilot project within the Regional Technical Assistance program of the Asian Development Bank had the aim of identifying good practices among Asian countries in technological innovation and economic growth and sharing them with some developing member states (DMCs). South Korea, China, Malaysia, and India were selected for studying good practices, and Mongolia, Vietnam, and Sri Lanka as DMCs. The project with the participating country experts as well as ADB officials and consultants was led by a team from Kyung Hee University in South Korea. The project commenced with workshops in Seoul, Beijing, Kuala Lumpur, and New Delhi with presentations from the respective country resource persons, site visits to S&T institutions, and discussions. A wrap-up workshop at the ADB headquarters finalized the collected material. The second phase included training programs in South Korea for selected representatives of the three DMCs. Concluding workshops at Ulaan Baatar, Hanoi, and Colombo included briefings of the outcomes for an expanded group of officials and academics from the DMCs. This project was not only a complex but successful exercise in international cooperation among scientific and developmental professionals, but also highlighted the role of personal contacts and communication well as the need for recognition of local traditions and cultures in project implementation.",ADB | Good practices | Innovation policy | Knowledge sharing program | Regional technical assistance | Science diplomacy,0,0,,,ADB,undefined,Asian Development Bank
54,2-s2.0-85145856555,10.1007/978-981-19-6802-0_16,,,The Academy of Science of South Africa and Science Diplomacy,ch,Book Chapter,Maphosa S.,60094824,Academy of Science of South Africa,Pretoria,South Africa,1,"Maphosa, Stanley",57211119246,60094824,2023-01-01,2023,Research for Development,21987300,21100894847,21987319,Book Series,,,,245-252,"This is a reformatted version of a Commentary by the author describing the role of the Academy of Science of South Africa in promoting innovation and scholarly activity, which appeared in the South African Journal of Science (“Maphosa S. The Academy of Science of South Africa and science diplomacy. S Afr J Sci. 2019;115(9/10), Art. #a0314, 3 pages. https://doi.org/10.17159/sajs.2019/a0314 ”). This is being published with the permission of Dr. Linda Fick, Managing Editor, South African Journal of Science, Academy of Science of South Africa (ASSAf), South Africa.",ASSAf | Gender equality | National System of Innovation | Science advice | Young scientists,0,0,,,,undefined,
55,2-s2.0-85145847031,10.1007/978-981-19-6802-0_6,,,"Science, Technology and Innovation Diplomacy in the Arab Region with Emphasis on the State of Palestine",ch,Book Chapter,Ibrahim M.,129050692,Higher Council for Innovation and Excellence (HCIE),Ramallah,,1,"Ibrahim, Maysoun",57222518878,129050692,2023-01-01,2023,Research for Development,21987300,21100894847,21987319,Book Series,,,,71-93,"Science, Technology and Innovation (STI) diplomacy should be an important and critical part of every nation’s tool kit, whether the country is developing or wealthy, large or small. It requires a structure encompassing the promotion of international science with explicit attention to issues at national, regional and international levels. International STI cooperation is defined from two lenses: to ensure scientific and technological capabilities and advance knowledge, or to advance broader national interests. Recently, Arab countries have begun to understand and explore the role and importance of STI diplomacy for them. This article explores how STI diplomacy is perceived and framed by Arab governments and diplomats in general, and in the State of Palestine in particular. It sheds light on several notable STI diplomacy efforts such as existing regional and international STI networks and partnerships, and highlights latest available statistical figures on STI diplomacy in the region which include key foreign Research and Development collaborators, researchers by field of employment, high-technology exports in manufactured exports, use of social media to boost foreign and public policies, among many others. The paper concludes with a number of strategic recommendations that may be adopted by Arab political communities and governments to boost the STI diplomacy.",Arab region | Innovation diplomacy | Research and Development (R&amp;D) | Science diplomacy | State of Palestine | Technology diplomacy,0,0,,,,undefined,
56,2-s2.0-85145846267,10.1007/978-981-19-6802-0_20,,,Reflecting on a Research Institute’s Role as a Tool for Ocean Science Diplomacy—ZMT’s Mission to Collaborate,ch,Book Chapter,Lahl R.,60072176,Leibniz Center for Tropical Marine Research,Bremen,Germany,3,"Lahl, Rebecca;Ferse, Sebastian;Bleischwitz, Raimund",58045270400;26323608200;6603227818,60072176;60072176;60072176,2023-01-01,2023,Research for Development,21987300,21100894847,21987319,Book Series,,,,311-328,"The Leibniz Centre for Tropical Marine Research (ZMT) in Bremen, Germany, has three decades of experience in collaborative research projects in close partnership with institutions in the Global South. With its mission to provide the scientific basis for the sustainable use and management of tropical marine resources, it has a unique position with an applied outlook, aiming for societal impacts, and an inter-and transdisciplinary approach. In this chapter, we use the example of the ZMT to provide insights from the perspective of an institute in the Global North that is focused in its work beyond its national borders, yet acts within its particular national academic and political environment. We provide an overview of the political and institutional background and history of the institute’s establishment and development over the past decades, and describe several of the instruments and key projects the institute uses and has been involved in. We then discuss the implications of ZMT’s mission and outlook for the institute, its partners, and staff, and reflect on the potential future role and approach of the institute in light of a changing international landscape in terms of global challenges, research policy, funding, academic structures, and collaboration.",Co-design | North–South collaboration | Research partnerships | Science diplomacy | Transdisciplinarity,0,0,,,ZMT,01UV2110F,Leibniz-Zentrum für Marine Tropenforschung
57,2-s2.0-85145841515,10.1007/978-981-19-6802-0_14,,,In Search for Scientific Collaboration: South Africa’s Science Diplomacy Towards Africa,ch,Book Chapter,Simelane T.,60015399,Human Sciences Research Council of South Africa,Pretoria,South Africa,4,"Simelane, Thokozani;Managa, Rodney;Mutanga, Shingirirai;Check, Nicassius Achu",16314041100;57217113685;56051694900;58045544000,60015399;60015399;60015399;60015399,2023-01-01,2023,Research for Development,21987300,21100894847,21987319,Book Series,,,,219-232,"To bolster science diplomacy in Africa, South Africa has through the Department of Science and Innovation (DSI) entered into science bilateral agreements with many countries in the continent. Additional agreements and engagements exist through Science Councils and institutions of higher learning. To strengthen its science diplomacy imperatives in Africa, DSI has established a Science and Technology Diplomacy program that explores possible ways of strengthening links with countries and institutions in Africa. To understand how South Africa can pursue its scientific engagement with the continent of Africa, a prospecting exercise for opportunities of engagement was done through science dialogues. The findings suggest that to meaningfully contribute to the development of Science, Technology, and Innovation (STI) agenda of the African Union (AU), South Africa requires a well-defined objective and a plan that is based on a clear understanding of the general strengths and weaknesses of science, technology, and development in Africa as well as the specific challenges within individual partner countries. Supporting continental science and technology strategy (e.g., AU’s STISA) and science and technology initiatives that contribute to developing and supporting research capacity and infrastructure should guide South Africa’s science diplomacy towards Africa.",Africa | Partnerships | Research | Science collaboration | Science diplomacy | South Africa,0,0,,,,undefined,
58,2-s2.0-85145836759,10.1007/978-981-19-6802-0_19,,,India’s S&amp;T Cooperation with Japan and France: Initiatives and Partnerships,ch,Book Chapter,Rupal P.,119963105,Indo-French Centre for the Promotion of Advanced Research-CEFIPRA,New Delhi,India,1,"Rupal, Purnima",58045839800,119963105,2023-01-01,2023,Research for Development,21987300,21100894847,21987319,Book Series,,,,287-307,"S&T cooperation is an important pillar in India’s diplomatic relationships with several countries as science-based approaches contribute to making tangible improvements in people’s lives by providing solutions to issues of global concern. Most knowledge-driven economies have vast complementarities that create boundless opportunities for the application of science and technology for finding innovative and affordable solutions to confront societal challenges. Leveraging science diplomacy to broaden the scope of engagements in Science, Technology and Innovation, India has launched numerous initiatives with Japan and France in diverse areas such as marine and earth science and technology, use and exploration of outer space and programmes to deal with challenges related to water. The cooperation has proved to be a significant tool to build infrastructure, unleash scientific and technological expertise and create new bridges at the national, university or industrial level. Together with the accompanying education programmes and outreach activities, it has contributed to advancing the frontiers of knowledge for global benefit on the one hand, and to strengthening efforts to reach important segments of society, and overall political relationships on the other hand. This paper is a compilation of various S&T initiatives and partnerships with both these countries.",France | India | Japan | S&amp;T | Science diplomacy | STI | Strategic partnership,0,0,,,डीएसटी,undefined,"Department of Science and Technology, Ministry of Science and Technology, India"
59,2-s2.0-85145836441,10.1007/978-981-19-6802-0_22,,,Research Networks and Novel Partnerships for Sustainable Development – How an EU Research Project on Innovative Wastewater Technology Developed to an International Network for Nature-Based Solutions,ch,Book Chapter,Clifford E.,60118296;60008539;129051170;129050824;124348080,"NOBATEK/INEF4, France;University of Galway;NGO constructify.media e.V.;Bauhaus Weimar University and BORDA e.V.;INNOQUA Project",Anglet;Galway;Bremen;Weimar;Anglet,France;Ireland;Germany;Germany;France,4,"Clifford, Eoghan;Dussaussois, Jean Baptiste;Schellenberg, Tatjana;Sodemann, Christoph",7007184321;57195548264;57212449393;58045551400,60008539;60118296-124348080;129050824;129051170,2023-01-01,2023,Research for Development,21987300,21100894847,21987319,Book Series,,,,337-349,"One of the objectives of EU’s Science Diplomacy is to develop scientific partnerships between the EU and the Global South to promote cooperation in the field of sustainable development with particular focus on the implementation of UN Sustainable Development Goals (SDGs). Horizon 2020 has been a major component of EU’s Science Diplomacy toolbox. This paper describes a Horizon 2020 funded research project that contributes to global efforts towards SDG6: “ensure availability and sustainable management of water and sanitation for all” by developing modular, sustainable, affordable and innovative wastewater treatment solutions for both rural and urban contexts. It responds to the need for inclusive research frameworks with locally driven approaches to development and innovation, by involving research, demonstration and testing expertise from countries in four continents (Africa, Asia, Latin America and Europe) and multiple stakeholders from 12 countries. The project’s international scientific collaboration on technological innovations was strongly dependent on the personal commitment of the involved stakeholder teams and has now created a new alliance for nature-based solutions.",Horizon 2020 | Nature-based solutions | North–South cooperation | Partnership networks | Sustainable development goals | Water and sanitation,0,0,,,EC,689817,European Commission
60,2-s2.0-85145835536,10.1007/978-981-19-6802-0_5,,,Recent Developments in STI Diplomacy in the Republic of Mauritius,ch,Book Chapter,Madhou M.,125778919,Mauritius Research and Innovation Council (MRIC),,Mauritius,1,"Madhou, Madhvee",36135760100,125778919,2023-01-01,2023,Research for Development,21987300,21100894847,21987319,Book Series,,,,59-69,"The Republic of Mauritius is striving to become an innovation driven economy. For this, international collaboration in Science, Technology and Innovation (STI) is crucial especially given its vulnerabilities as a Small Island Developing State. This has given rise to the need for STI diplomacy. This desktop study presents recent developments in STI diplomacy in Mauritius through a stock taking and critical analysis of recent initiatives, and attempts to demonstrate how the innovation component was brought in this context. New or consolidated partnerships with countries like India and France, and international instances like the European Union have led to new infrastructure, enhanced mobility of researchers, internationalization of Higher Education as well as to new programs in specific fields such as SMART Agriculture. The support of the High Commission of Australia to boost women's participation in science and the international support for Mauritius to face an ongoing ecological disaster are further examples. A new dimension to traditional Science Diplomacy is the introduction of innovative measures to attract local innovators and give them access to the larger international market. The potential of STI diplomacy needs to be strengthened for international collaboration responding to innovation needs, and with a higher participation of industry.",Innovation | International Collaboration | Partnerships | STI Diplomacy,0,0,,,,undefined,
61,2-s2.0-85145833333,10.1007/978-981-19-6802-0_7,,,Present Status of Science Diplomacy in Nepal,ch,Book Chapter,Regmi C.,126291835,Nepal Academy of Science and Technology,Lalitpur,Nepal,1,"Regmi, Chiranjivi",58045369200,126291835,2023-01-01,2023,Research for Development,21987300,21100894847,21987319,Book Series,,,,95-111,"Science diplomacy is the use of scientific collaboration among nations to build constructive international partnerships to address common problems. It has become an umbrella describing several formal or informal technical, research-based, academic or engineering exchanges. As a country belonging to the group of “Least Developed Countries (LDC)” with the associated financial and technological constraints, Nepal still relies on support from international agencies and countries for national development. With the establishment of a democratic system, Nepal has enhanced its S&T capability through the establishment of academic, research and development organizations and created a critical mass of scientists and technologists. The practice of science diplomacy remains in initial stages, and more efforts are needed to strengthen the science diplomacy capability of diplomatic missions by bringing together the knowledge and expertise of scientists, technologists and diplomats.",Diplomatic missions | Innovation | International partnerships | Nepal | Science | Technology | Universities,0,0,,,INSA,undefined,Indian National Science Academy
62,2-s2.0-85145828526,10.1007/978-981-19-6802-0_2,,,"Internationalization of Science and Diplomacy, Concepts and Practices: Lessons for Developing Countries",ch,Book Chapter,Aguirre-Bastos C.,108170349,National Academy of Sciences of Bolivia,La Paz,Bolivia,1,"Aguirre-Bastos, Carlos",36176846200,108170349,2023-01-01,2023,Research for Development,21987300,21100894847,21987319,Book Series,,,,9-32,"The current rapid progress of science and technology has been made possible through the extensive and increasing practice of international scientific collaboration in its multiple forms. Acknowledging the latter’s importance, most countries make it part of their internationalization policies. With development demands to further science capacities, and global problems becoming more complex, the science–foreign policy nexus has deepened in its conceptual and practical approaches, giving rise to the evolving concept and prominence of science diplomacy. Though science has been “used for years for international relations purposes around the world, science diplomacy has become a new term for an old concept”, today it is a key tool to promote closer relations between nations, define common global goals, and as support to the internationalization of science and foreign policies. With the COVID-19 crisis, science diplomacy has gained renewed importance and calls for new approaches like the further development of “science of science diplomacy” or the inclusion of new policy support tools such as foresight. Developing countries formulating their science and foreign policies can benefit from an overview of internationalization, scientific collaboration, the existing science diplomacy concepts and practices, and the development of new approaches contributing to a better understanding of the science–foreign policy nexus.",Diplomacy | Foreign policy | International relations | Internationalization | Science | Science policy | Scientific collaboration,0,0,,,,undefined,
63,2-s2.0-85145818673,10.1007/978-981-19-6802-0_15,,,Case Studies in International Science Diplomacy: ASRT Contribution to Developing S&amp;T in Egypt,ch,Book Chapter,Soror S.H.,60115114,"Academy of Scientific Research &amp; Technology, Cairo",Cairo,Egypt,4,"Soror, Sameh H.;El-Feky, Gina;Attia, Abeer;Sakr, Mahmoud M.",16837604900;15725285600;58045267800;58045549100,60115114;60115114;60115114;60115114,2023-01-01,2023,Research for Development,21987300,21100894847,21987319,Book Series,,,,233-244,"The Academy of Scientific Research & Technology, Egypt (ASRT), has multiple cooperation agreements with different countries and organizations. The organizations include International Institute for Applied Systems Analysis (IIASA), International Centre for Synchrotron-Light for Experimental Science Applications in the Middle East (SESAME), and the Joint Institute for Nuclear Research (JINR). They are considered world leaders in the field of science diplomacy. This paper provides an overview of the history of these organizations with a focus on the role of science diplomacy in their development and describes the level of Egyptian participation and its benefits to the development of S&T in Egypt. Opportunities provided by the various joint training and educational activities have been particularly beneficial to young researchers in attaining higher levels of qualification. The cooperation has also encouraged new Egyptian initiatives towards creating awareness of science among school children.",Global challenges | IIASA | JINR | Opportunities beyond Political Issues | Science diplomacy | SESAME,0,0,,,,undefined,
64,2-s2.0-85135850784,10.1080/14693062.2022.2107981,,,Russia’s expanding adaptation agenda and its limitations,ar,Article,Moe A.,60070987;60022147,State Hydrological Institute;Fridtjof Nansens Institutt,Saint Petersburg;Barum,Russian Federation;Norway,3,"Moe, Arild;Lamazhapov, Erdem;Anisimov, Oleg",7006872211;57841783300;55702353700,60022147;60022147;60070987,2023-01-01,2023,Climate Policy,14693062,22524,17527457,Journal,23,2,,184-198,"Russian science has long warned of adverse climate impacts (also noting some positive effects), but state policies have been lacking. By analysing key policy documents over the last 15 years, this study identifies and explains the development of an adaptation policy. Most recently, a bureaucratic process set in motion by Russia’s ratification of the Paris Agreement produced a set of policy documents addressing adaptation to negative climate impacts. These documents employed a bureaucratic-administrative approach, and the effectiveness of expected measures can be questioned. From 2020, a deeper reassessment of climate challenges has evolved, triggered by radical climate changes observed in the Russian Arctic, but also by developments in international climate policies and the energy transition. Economic adaptation to these trends has come to the forefront, raising questions of the need for structural change in the Russian economy. Opposition to reform remains strong, but the scope for discussion of possible pathways has widened considerably. Further development of low-carbon policies in Russia are contingent on international cooperation and integration of Russia in the world economy. The isolation of Russia, following the invasion of Ukraine, will make it difficult to influence Russian climate policies. Key policy insights: Unlike the West, Russian climate policy has focused on adaptation, rather than mitigation. But policies have been weak, and adaptation not mainstreamed. Detailed recommendations for adaptation to climate change impacts adopted in 2021 signalled higher political attention, but framed adaptation largely as a technical task. Since 2020, a broader climate change and adaptation discourse entered Russian politics where adaptation to international climate policies and the energy transition is at the centre. Debate on Russia’s role in the changing energy market had started, but the invasion of Ukraine and the ensuing international isolation of Russia is likely to reduce Russia’s capacity and incentives to carry out low-carbon policies. Western countries will have to consider how they can provide climate policy incentives to Russia in the new international situation, as Russia will remain essential for the success of the climate regime. Science diplomacy may become important.",adaptation | Arctic | climate | low-carbon strategy | Russia,2,0,,,,315401,Norges Forskningsråd
65,2-s2.0-85144979581,10.1017/S0032247422000298,S0032247422000298,,Bilateral collaboration between the Greenland (Kalaallit Nunaat) and United States Research Communities - from a vision to everyday practice,ar,Article,Mercer J.L.,60072871;60033103;60013346;60010756;129019375;129019269;129019119;128131130;122381371,Greenland Institute of Natural Resources;United Nations;National Science Foundation;Dartmouth College;Nunatsinni Ilisimatusarnermik Siunnersuisoqatigiit (Greenland Research Council);Us Embassy Bishkek;Ministry Of Culture;Ministry of Foreign Affairs and Energy;Science Division,Godthaab;New York;Alexandria;Hanover;Godthaab;Bishkek;Godthaab;Godthaab;Copenhagen,Greenland;United States;United States;United States;Greenland;Kyrgyzstan;Greenland;Greenland;Denmark,9,"Mercer, Jennifer L.;Nymand, Josephine;Culler, Lauren E.;Lynge, Rebecca;Lund, Sten;Gregersen, Bo;Makens, Brett;Virginia, Ross A.;Moore, Kristian G.",10139547000;55905723500;23484713100;58034443900;58034274800;58034274900;58034610100;7003676672;58033766900,60013346;129019375-60072871;60010756;128131130-60033103;129019119;122381371;122381371;60010756;122381371-129019269,2022-12-23,23 December 2022,Polar Record,322474,12397,14753057,Journal,58,1,e42,,"Each year, hundreds of international researchers enter Greenland to conduct scientific fieldwork. Historically, they have had little interaction with local communities and scientists at Greenland research institutes. Recognising that collaboration between Greenland and the United States can yield better research, consider more diverse perspectives, articulate the benefits of research to Greenland society, and train the next generation in a collaborative framework, representatives from both countries have been engaged in a series of events to cultivate bilateral relationships. Here, we describe the process of these events (workshops, conference sessions, and public dialogues), the findings, and the outcomes that have followed. Prior to this focused engagement, United States and Greenland scientists typically pursued their research independently. Since the engagement, more researchers from both countries have successfully partnered to obtain funding for collaborative research. Furthermore, development of a bilateral collaboration network is underway. The focused approach on bilateral engagement also proved essential for maintaining research and other activities during the global pandemic. When United States researchers were prevented from entering Greenland, their Greenland partners were able to continue the fieldwork, ensuring that progress was not lost. Future international projects can build on these successes to expand collaborative and interdisciplinary research in Greenland.",Bilateral collaboration | Co-production | Community engagement | Greenland | Indigenous knowledge | International research | Science diplomacy | scientific research community | U.S.-Greenland collaboration,0,1,publisherhybridgold,Hybrid Gold,NSF,1837806,National Science Foundation
