Item,Count
"('Russian Federation', 'Lithuania')",1
"('Russian Federation', 'Latin America and the Caribbean')",2
"('Russian Federation', 'Mexico')",3
"('Russian Federation', 'Italy')",2
"('Russian Federation', 'Denmark')",1
"('Russian Federation', 'Ukraine')",2
"('United States of America', 'Arctic')",6
"('United States of America', 'Ukraine')",1
"('Germany', 'Cyprus')",1
"('Germany', 'Egypt')",1
"('Germany', 'Iran')",1
"('Germany', 'Israel')",1
"('Germany', 'Pakistan')",1
"('Germany', 'Palestine')",1
"('Germany', 'Turkey')",1
"('Germany', 'Jordan')",1
"('Netherlands', 'United Kingdom')",1
"('Hungary', 'Hungary')",1
"('Hungary', 'Germany')",1
"('Hungary', 'Italy')",1
"('Hungary', 'Austria')",1
"('Russian Federation', 'Switzerland')",2
"('Russian Federation', 'Israel')",1
"('France', 'Brazil')",1
"('France', 'France')",3
"('France', 'Germany')",2
"('France', 'United Kingdom')",1
"('France', 'United States of America')",2
"('Colombia', 'Argentina')",1
"('Colombia', 'Brazil')",1
"('Colombia', 'Chile')",1
"('Colombia', 'Colombia')",2
"('Colombia', 'Mexico')",1
"('Colombia', 'Spain')",1
"('Belgium', 'Southern Asia')",1
"('Belgium', 'India')",1
"('Iran', 'Europe')",1
"('Iran', 'Kazakhstan')",1
"('Italy', 'Eastern Europe')",1
"('Italy', 'Southern Europe')",1
"('Belgium', 'Eastern Europe')",1
"('Belgium', 'Southern Europe')",1
"('United States of America', 'Turkey')",3
"('United States of America', 'Europe')",6
"('Sweden', 'Sweden')",1
"('Japan', 'India')",1
"('Greenland', 'Arctic')",1
"('Denmark', 'Arctic')",2
"('Switzerland', 'Russian Federation')",1
"('Turkey', 'Turkey')",2
"('United States of America', 'Antarctica')",5
"('United States of America', 'France')",1
"('United States of America', 'South Africa')",2
"('United States of America', 'Eastern Asia')",2
"('United States of America', 'South-eastern Asia')",1
"('Germany', 'Japan')",1
"('Germany', 'Eastern Asia')",1
"('Canada', 'Canada')",1
"('Canada', 'India')",1
"('Canada', 'Norway')",1
"('Canada', 'United Kingdom')",1
"('Mexico', 'United States of America')",2
"('United States of America', 'China')",8
"('Portugal', 'Sub-Saharan Africa')",2
"('Czechia', 'Czechia')",3
"('Czechia', 'Slovakia')",3
"('Czechia', 'Russian Federation')",4
"('Czechia', 'Sweden')",1
"('United Kingdom', 'Brazil')",1
"('Hungary', 'United States of America')",1
"('Hungary', 'Brazil')",1
"('Germany', 'Switzerland')",2
"('Germany', 'Eastern Europe')",1
"('Germany', 'Western Europe')",1
"('Germany', 'Czechia')",1
"('Germany', 'Slovakia')",1
"('Belgium', 'United States of America')",2
"('India', 'Southern Asia')",1
"('India', 'Afghanistan')",1
"('India', 'Bangladesh')",1
"('India', 'Bhutan')",1
"('India', 'Maldives')",1
"('India', 'Myanmar')",1
"('India', 'Nepal')",1
"('India', 'Pakistan')",1
"('India', 'Sri Lanka')",1
"('North Macedonia', 'Albania')",1
"('North Macedonia', 'Bosnia and Herzogovina')",1
"('North Macedonia', 'Bulgaria')",1
"('North Macedonia', 'Croatia')",1
"('North Macedonia', 'Montenegro')",1
"('North Macedonia', 'North Macedonia')",1
"('North Macedonia', 'Romania')",1
"('North Macedonia', 'Serbia')",1
"('North Macedonia', 'Slovenia')",1
"('North Macedonia', 'Greece')",1
"('North Macedonia', 'Turkey')",1
"('Switzerland', 'Albania')",1
"('Switzerland', 'Bosnia and Herzogovina')",1
"('Switzerland', 'Bulgaria')",1
"('Switzerland', 'Croatia')",2
"('Switzerland', 'Montenegro')",1
"('Switzerland', 'North Macedonia')",1
"('Switzerland', 'Romania')",1
"('Switzerland', 'Serbia')",1
"('Switzerland', 'Slovenia')",1
"('Switzerland', 'Greece')",1
"('Switzerland', 'Turkey')",1
"('Russian Federation', 'France')",3
"('France', 'Russian Federation')",2
"('United States of America', 'Americas')",1
"('United States of America', 'Mexico')",3
"('United States of America', 'Latin America and the Caribbean')",1
"('United States of America', 'Central Asia')",1
"('United States of America', 'Southern Asia')",1
"('Brazil', 'Guatemala')",1
"('Brazil', 'El Salvador')",1
"('Brazil', 'Honduras')",1
"('Brazil', 'Western Europe')",1
"('Brazil', 'United States of America')",2
"('Japan', 'Japan')",5
"('Sweden', 'France')",1
"('France', 'China')",1
"('Turkey', 'Germany')",1
"('Turkey', 'China')",1
"('India', 'Germany')",1
"('India', 'Russian Federation')",1
"('India', 'United States of America')",2
"('Australia', 'Australia')",1
"('Netherlands', 'Germany')",1
"('Netherlands', 'Netherlands')",1
"('Germany', 'Netherlands')",1
"('Spain', 'Spain')",1
"('Luxembourg', 'Germany')",1
"('Luxembourg', 'Switzerland')",1
"('Poland', 'Poland')",2
"('Poland', 'Eastern Europe')",1
"('Poland', 'France')",1
"('Poland', 'Czechia')",1
"('Norway', 'Europe')",3
"('Mexico', 'Mexico')",1
"('United Kingdom', 'Germany')",1
"('United Kingdom', 'Norway')",1
"('United Kingdom', 'Denmark')",1
"('United Kingdom', 'Netherlands')",1
"('United Kingdom', 'Belgium')",1
"('United Kingdom', 'France')",1
"('Czechia', 'United States of America')",1
"('Germany', 'Russian Federation')",1
"('Russian Federation', 'Spain')",1
"('Russian Federation', 'Antarctica')",1
"('Russian Federation', 'Europe')",4
"('Kazakhstan', 'Europe')",1
"('Kazakhstan', 'Kazakhstan')",2
"('Norway', 'China')",2
"('Belgium', 'Norway')",1
"('Belgium', 'Sweden')",1
"('Belgium', 'Denmark')",1
"('Belgium', 'Finland')",1
"('Belgium', 'Russian Federation')",1
"('Belgium', 'Estonia')",1
"('Belgium', 'Latvia')",1
"('Belgium', 'Lithuania')",1
"('Belgium', 'Poland')",1
"('Belgium', 'Germany')",1
"('Iraq', 'United States of America')",1
"('United States of America', 'Japan')",3
"('India', 'China')",1
"('India', 'Arctic')",1
"('India', 'Antarctica')",1
"('Canada', 'Bolivia')",1
"('Canada', 'South Africa')",1
"('Canada', 'Panama')",1
"('United States of America', 'Bolivia')",1
"('United States of America', 'Panama')",1
"('Russian Federation', 'Eastern Europe')",1
"('Russian Federation', 'Western Europe')",1
"('Germany', 'France')",1
"('Iran', 'Malaysia')",1
"('Malaysia', 'Iran')",1
"('Canada', 'Russian Federation')",1
"('Czechia', 'Eastern Europe')",2
"('Switzerland', 'Europe')",2
"('Switzerland', 'Switzerland')",2
"('United States of America', 'Barbados')",1
"('Russian Federation', 'Belarus')",2
"('Austria', 'Russian Federation')",1
"('Indonesia', 'Philippines')",1
"('Indonesia', 'Viet Nam')",1
"('Indonesia', 'China')",1
"('Indonesia', 'Brunei')",1
"('Indonesia', 'Taiwan')",1
"('Russian Federation', 'Africa')",1
"('Russian Federation', 'Asia')",1
"('Russian Federation', 'Northern America')",1
"('Russian Federation', 'Sweden')",1
"('Russian Federation', 'Armenia')",1
"('Russian Federation', 'Kazakhstan')",1
"('Russian Federation', 'Turkmenistan')",1
"('Russian Federation', 'Azerbijan')",1
"('Russian Federation', 'Moldova')",1
"('Russian Federation', 'Uzbekistan')",1
"('Russian Federation', 'Tajikistan')",1
"('Russian Federation', 'Kyrgyzstan')",1
"('Russian Federation', 'Brazil')",1
"('Russian Federation', 'South Africa')",1
"('United Kingdom', 'Africa')",1
"('Denmark', 'Europe')",2
"('Denmark', 'Africa')",1
"('Austria', 'Europe')",1
"('Austria', 'Africa')",1
"('New Zealand', 'Australia')",1
"('New Zealand', 'South Africa')",1
"('Malaysia', 'Antarctica')",3
"('Czechia', 'Poland')",1
"('Czechia', 'Germany')",1
"('Iceland', 'Arctic')",1
"('Iceland', 'China')",1
"('Iceland', 'Europe')",1
"('Iceland', 'United States of America')",1
"('Sweden', 'China')",1
"('Sweden', 'Europe')",1
"('Canada', 'China')",1
"('Canada', 'Europe')",1
"('Canada', 'United States of America')",1
"('Denmark', 'China')",1
"('Denmark', 'United States of America')",1
"('United States of America', 'Germany')",3
"('Malaysia', 'Arctic')",1
"('United States of America', 'Canada')",1
"('United States of America', 'Denmark')",1
"('United States of America', 'Greenland')",1
"('United States of America', 'Norway')",1
"('China', 'Canada')",1
"('China', 'Denmark')",1
"('China', 'Greenland')",1
"('China', 'Norway')",1
"('China', 'Europe')",1
"('Poland', 'United States of America')",1
"('India', 'Denmark')",1
"('Australia', 'Chile')",1
"('Australia', 'Antarctica')",1
"('United States of America', 'Egypt')",2
"('United States of America', 'Jordan')",2
"('United States of America', 'Lebanon')",1
"('United States of America', 'Libya')",1
"('United States of America', 'Syria')",1
"('United States of America', 'United Kingdom')",2
"('United States of America', 'Malta')",1
"('Australia', 'United Kingdom')",1
"('Australia', 'Indonesia')",1
"('Australia', 'United States of America')",1
"('Singapore', 'Slovenia')",1
"('Singapore', 'Denmark')",1
"('Singapore', 'United States of America')",1
"('New Zealand', 'Antarctica')",1
"('Japan', 'United States of America')",1
"('Japan', 'China')",1
"('Japan', 'South Korea')",1
"('United States of America', 'Northern America')",2
"('United States of America', 'Sierra Leone')",1
"('United Kingdom', 'Sierra Leone')",1
"('India', 'Europe')",1
"('India', 'Sierra Leone')",1
"('Switzerland', 'Sierra Leone')",1
"('Switzerland', 'United States of America')",1
"('Italy', 'Sierra Leone')",1
"('Spain', 'Europe')",1
"('Spain', 'Sierra Leone')",1
"('Spain', 'United States of America')",1
"('Turkey', 'Europe')",1
"('Turkey', 'Sierra Leone')",1
"('Turkey', 'United States of America')",1
"('South Africa', 'Sierra Leone')",1
"('South Africa', 'United States of America')",1
"('Japan', 'Northern Africa')",1
"('Japan', 'Mauritania')",1
"('Japan', 'Sudan')",1
"('Japan', 'Lebanon')",1
"('Japan', 'Palestine')",1
"('Japan', 'Iraq')",1
"('Japan', 'Iran')",1
"('Japan', 'Kuwait')",1
"('Japan', 'Yemen')",1
"('Japan', 'Djibouti')",1
"('Japan', 'Oman')",1
"('Japan', 'Qatar')",1
"('Japan', 'Afghanistan')",1
"('Japan', 'Saudi Arabia')",1
"('Japan', 'United Arab Emirates')",1
"('Japan', 'Morocco')",1
"('Japan', 'Algeria')",1
"('Japan', 'Tunisia')",1
"('Japan', 'Libya')",1
"('Japan', 'Egypt')",1
"('United States of America', 'Singapore')",1
"('Hungary', 'Jordan')",1
"('United States of America', 'Israel')",1
"('United States of America', 'Palestine')",1
"('Switzerland', 'China')",1
"('United States of America', 'Switzerland')",1
"('China', 'Switzerland')",1
"('United States of America', 'Yemen')",1
"('United States of America', 'Eastern Europe')",1
"('United States of America', 'Poland')",1
"('United States of America', 'Czechia')",1
"('United States of America', 'Slovakia')",1
"('United States of America', 'Hungary')",1
"('United States of America', 'Bulgaria')",1
"('United States of America', 'Bosnia and Herzogovina')",1
"('United States of America', 'North Macedonia')",1
"('United States of America', 'Montenegro')",1
"('United States of America', 'Serbia')",1
"('United States of America', 'Slovenia')",1
"('United States of America', 'Africa')",1
